
Country Name En,Unit Name,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag
Northern Mariana Islands,Tonnes - live weight,41,E,41,E,41,E,42,E,42,E
North Macedonia,Tonnes - live weight,1814.2,A,1660.51,A,1633.891,A,1955.5,E,1359.3,E
Norway,Tonnes - live weight,1648468.706,A,1665112.048,A,1490412.045,A,1453042.385,A,1355116.800,A
Oman,Tonnes - live weight,3468,A,1703,A,1307,A,1054,A,451.45,A
Pakistan,Tonnes - live weight,165475,A,164527,A,162462,A,160744,A,159083,A
Palau,Tonnes - live weight,10,E,11.2,E,15,E,17,E,22.7,E
Palestine,Tonnes - live weight,727,E,697,A,645,E,630,A,749,A
Panama,Tonnes - live weight,11847.21,A,6724.44,A,3909.098,A,7225.217,A,8825.4,A
Papua New Guinea,Tonnes - live weight,2462,E,2342,E,2322,E,2271,E,2471.1,E
Paraguay,Tonnes - live weight,20000,A,14150,A,14100,A,12750,A,11536,A
Peru,Tonnes - live weight,140930.63,A,150817.595,A,143829.723,A,161278.604,A,141224.38,A
Philippines,Tonnes - live weight,2349252.015,A,2246315.779,A,2322831.427,A,2358238.377,A,2304360.747,A
Poland,Tonnes - live weight,46110,E,44787,A,47700,E,44719,A,43361.335,A
Portugal,Tonnes - live weight,20968,E,19516.475,A,20583.01,A,13690.77,A,13991.176,A
Puerto Rico,Tonnes - live weight,11,E,11,E,11,E,16,E,16,E
Qatar,Tonnes - live weight,97.845,A,113.9,A,22.8,A,22,A,10,A
Republic of Korea,Tonnes - live weight,2307638.31,A,2437754.800,A,2334232.180,A,2399720,A,2278850,E
Republic of Moldova,Tonnes - live weight,12910,E,12905,A,12600,E,12680.0,E,12610.0,A
Réunion,Tonnes - live weight,65,E,67.5,E,38,E,38,E,33,E
Romania,Tonnes - live weight,11210.78,A,11714,A,12200,E,12847.787,A,12298.45,A
Russian Federation,Tonnes - live weight,348187,A,319342,A,291194,A,248293,A,204032,A
Rwanda,Tonnes - live weight,12202,E,10313.3,A,7058.6,A,3850.0,A,3557,A
Saint Kitts and Nevis,Tonnes - live weight,4.0,E,3.5,E,3.5,E,2.5,E,2.5,E
Saint Lucia,Tonnes - live weight,209.43,A,210.72,A,91.89,A,119.722,A,60,E
Saint Pierre and Miquelon,Tonnes - live weight,0,A,0,A,0,A,0,A,49,A
Saint Vincent and the Grenadines,Tonnes - live weight,13,E,13,E,13.07,A,0.24,A,1,A
Samoa,Tonnes - live weight,14,E,10,E,10.014,E,15.3,E,14.929,A
Saudi Arabia,Tonnes - live weight,119844.7,A,114489.66,A,99906.600,A,75562.80,A,72025,E
Senegal,Tonnes - live weight,1585.1,A,1150.5,E,1100.0,A,1010,A,1108,A
Serbia,Tonnes - live weight,5776.47,A,7307.89,A,6010.26,A,6806.77,A,7338.70,A
Serbia and Montenegro,Tonnes - live weight,,,,,,,,,,
Seychelles,Tonnes - live weight,0,A,0,A,0,A,0,A,0,A
Sierra Leone,Tonnes - live weight,145,E,125,E,115,E,100,E,100,E
Singapore,Tonnes - live weight,4745.21,A,5243.564,A,4828.849,A,5831.350,A,5701.649,A
Slovakia,Tonnes - live weight,2614,E,2514,E,2296.0,A,2687.54,A,2224.41,A
Slovenia,Tonnes - live weight,1643.7,A,1685.9,A,1672.6,A,2143.9,A,1943.5,A
Solomon Islands,Tonnes - live weight,11879.3,A,12463.74,A,5507,E,5607,E,5526.5,A
South Africa,Tonnes - live weight,11355.02,A,10346.65,A,9753.01,A,9224.32,A,7991.55,A
South Sudan,Tonnes - live weight,47,E,45,E,40,E,35,E,30,E
Spain,Tonnes - live weight,276070.807,A,279912.049,A,276626.851,A,311041.770,A,356903.01,A
Sri Lanka,Tonnes - live weight,59080.29,A,50977.226,A,42118.9,A,34087.49,A,30921.46,A
Sudan,Tonnes - live weight,9000,E,9000,E,9000,E,9000,E,10000,A
Sudan (former),Tonnes - live weight,,,,,,,,,,
Suriname,Tonnes - live weight,45,E,40,E,37,E,69.5,A,72.4,A
Sweden,Tonnes - live weight,11327.2,A,15403,A,12190.3,A,11579.3,A,13095,A
Switzerland,Tonnes - live weight,2500,E,2364,A,2358.1,A,2358.1,A,1843,A
Syrian Arab Republic,Tonnes - live weight,1755,E,1805,E,1855,E,2150,E,2225,E
Taiwan Province of China,Tonnes - live weight,264251.862,A,274789.602,A,278503.175,A,292484.472,A,284382.257,A
Tajikistan,Tonnes - live weight,2248,E,2039,E,775,E,736,E,512,E
Thailand,Tonnes - live weight,1001181,A,990854.00,A,1011538.0,A,963266.54,A,921313.13,A
Timor-Leste,Tonnes - live weight,1125,E,1091,E,1060,E,1018,E,981,E
Togo,Tonnes - live weight,1151,A,882,A,730,A,1000,A,290,A
Tonga,Tonnes - live weight,100,E,100,E,105.2,E,90,E,80,E
Trinidad and Tobago,Tonnes - live weight,7.4,A,18.2,A,4.2,A,54,A,7.45,A
Tunisia,Tonnes - live weight,20926.057,A,26099.185,A,23631.1,A,24223.2,A,21826.2,A
Türkiye,Tonnes - live weight,514823,A,471686,A,421411,A,373356,A,314537,A
Turkmenistan,Tonnes - live weight,175,E,160,E,150,E,140,E,120,E
Turks and Caicos Islands,Tonnes - live weight,0,A,0,A,0,A,0,A,0.5,E
Tuvalu,Tonnes - live weight,1,E,1,E,1,E,2.5,E,2.5,E
Uganda,Tonnes - live weight,101377,A,138558.4,A,123897,A,102942.7,A,103737,A
Ukraine,Tonnes - live weight,14630.0,A,16881.808,A,18567.796,A,18603.713,A,18595.43,A
United Arab Emirates,Tonnes - live weight,3524.960,A,2662.942,A,3047.779,A,3240,E,3230,E
United Kingdom of Great Britain and Northern Ireland,Tonnes - live weight,203111.706,A,239285.231,A,220327.205,A,233849.219,A,189921.352,A
United Republic of Tanzania,Tonnes - live weight,75896.046,A,64904.344,A,18886.16,A,18013.40,A,16852.22,A
"United Republic of Tanzania, Zanzibar",Tonnes - live weight,120621,E,105329,A,87867,A,96652,A,104266.223,A
United States of America,Tonnes - live weight,478823.932,A,461639.114,A,448574.606,A,496094.848,A,471311.351,A
United States Virgin Islands,Tonnes - live weight,8,E,8,E,8,E,8,E,8,E
Un. Sov. Soc. Rep.,Tonnes - live weight,,,,,,,,,,
Uruguay,Tonnes - live weight,91,E,83.9,E,97.8,E,120.5,E,104.774,A
Uzbekistan,Tonnes - live weight,130274,E,118933,E,98003,E,81717,E,57384,E
Vanuatu,Tonnes - live weight,4,E,3,E,3.08,A,16.18,A,16.205,E
Venezuela (Bolivarian Republic of),Tonnes - live weight,52580,E,53105,E,40261,E,33636,E,25911,E
Viet Nam,Tonnes - live weight,5170374.52,A,4750173.83,A,4681434.95,A,4373747,A,4192822.5,A
Yemen,Tonnes - live weight,10,E,10,E,10,E,10,E,10,E
Yugoslavia SFR,Tonnes - live weight,,,,,,,,,,
Zambia,Tonnes - live weight,75648,E,63355.00,A,45670.00,A,38480,A,29565,E
Zimbabwe,Tonnes - live weight,8353.01,A,5057.82,A,21276.34,A,20356.01,A,18759.33,A
